xdtol,ydtol
43,-35441622.00
43.035,-35232719.00
43.07,-35153631.00
43.105,-35519393.00
43.14,-35333680.00
43.175,-35159764.00
43.21,-35111196.00
43.245,-35595649.00
43.28,-35451524.00
43.315,-35125135.00
43.35,-35211462.00
43.385,-35019305.00
43.42,-35384066.00
43.455,-35489736.00
43.49,-35441747.00
43.525,-35455125.00
43.56,-35488510.00
43.595,-35674126.00
43.63,-35647772.00
43.665,-35703084.00
43.7,-35483723.00
43.735,-35863029.00
43.77,-35286233.00
43.805,-35658513.00
43.84,-34999488.00
43.875,-35546419.00
43.91,-35489427.00
43.945,-35458490.00
43.98,-35188525.00
44.015,-35199492.00
44.05,-35632255.00
44.085,-35435759.00
44.12,-35240852.00
44.155,-35392709.00
44.19,-35314472.00
44.225,-35367085.00
44.26,-35458852.00
44.295,-35314444.00
44.33,-35418182.00
44.365,-35393621.00
44.4,-35347453.00
44.435,-35429187.00
44.47,-35709336.00
44.505,-35373063.00
44.54,-34954952.00
44.575,-35429099.00
44.61,-35618208.00
44.645,-35418984.00
44.68,-35838039.00
44.715,-35167818.00
44.75,-35157791.00
44.785,-35283365.00
44.82,-35421904.00
44.855,-35470241.00
44.89,-35587691.00
44.925,-35443318.00
44.96,-35497853.00
44.995,-35282227.00
45.03,-35567438.00
45.065,-35301021.00
45.1,-35637923.00
45.135,-35527569.00
45.17,-35566786.00
45.205,-35293227.00
45.24,-35492648.00
45.275,-35471629.00
45.31,-35080177.00
45.345,-35013764.00
45.38,-35493501.00
45.415,-35586405.00
45.45,-35336216.00
45.485,-35503638.00
45.52,-35245622.00
45.555,-35419054.00
45.59,-35464207.00
45.625,-35509055.00
45.66,-35603408.00
45.695,-35642873.00
45.73,-35225494.00
45.765,-35661853.00
45.8,-35552989.00
45.835,-35711039.00
45.87,-35410137.00
45.905,-35639024.00
45.94,-35523144.00
45.975,-35349053.00
46.01,-35501498.00
46.045,-35663735.00
46.08,-35406314.00
46.115,-35537225.00
46.15,-35364963.00
46.185,-35427834.00
46.22,-35599724.00
46.255,-35550481.00
46.29,-35865117.00
46.325,-35395774.00
46.36,-35593187.00
46.395,-35571346.00
46.43,-35757495.00
46.465,-35600786.00
46.5,-35546928.00
46.535,-35529840.00
46.57,-35488317.00
46.605,-35853802.00
46.64,-35531903.00
46.675,-35510973.00
46.71,-35494665.00
46.745,-35522426.00
46.78,-35734819.00
46.815,-35589815.00
46.85,-35337806.00
46.885,-35600401.00
46.92,-35300936.00
46.955,-35449215.00
46.99,-35574389.00
47.025,-35698553.00
47.06,-35324374.00
47.095,-35775972.00
47.13,-35714991.00
47.165,-35647073.00
47.2,-35401251.00
47.235,-35040842.00
47.27,-35301749.00
47.305,-35486232.00
47.34,-35089485.00
47.375,-35145695.00
47.41,-35343314.00
47.445,-35328189.00
47.48,-35478181.00
47.515,-35063860.00
47.55,-35204997.00
47.585,-35038749.00
47.62,-35404699.00
47.655,-35208903.00
47.69,-35102356.00
47.725,-35094778.00
47.76,-34989525.00
47.795,-35106515.00
47.83,-34902973.00
47.865,-34916829.00
47.9,-35175726.00
47.935,-34773311.00
47.97,-34871545.00
48.005,-34759067.00
48.04,-34700192.00
48.075,-34387833.00
48.11,-34602548.00
48.145,-34537761.00
48.18,-34251503.00
48.215,-34661423.00
48.25,-34283287.00
48.285,-34382046.00
48.32,-34209165.00
48.355,-34097714.00
48.39,-34132039.00
48.425,-34076916.00
48.46,-33924050.00
48.495,-33819381.00
48.53,-33705796.00
48.565,-33977432.00
48.6,-33825442.00
48.635,-33954004.00
48.67,-33445982.00
48.705,-33643118.00
48.74,-33553400.00
48.775,-33743507.00
48.81,-33539352.00
48.845,-32884120.00
48.88,-33051771.00
48.915,-33132752.00
48.95,-33042308.00
48.985,-32994427.00
49.02,-33088838.00
49.055,-32729872.00
49.09,-32629304.00
49.125,-32478195.00
49.16,-32437622.00
49.195,-32229623.00
49.23,-32120059.00
49.265,-31920971.00
49.3,-31831916.00
49.335,-31860687.00
49.37,-31555030.00
49.405,-31672861.00
49.44,-31241669.00
49.475,-31093328.00
49.51,-31444552.00
49.545,-30620186.00
49.58,-30518040.00
49.615,-30106386.00
49.65,-29735027.00
49.685,-29697033.00
49.72,-29227199.00
49.755,-28793497.00
49.79,-28151187.00
49.825,-27294440.00
49.86,-26798924.00
49.895,-26076516.00
49.93,-25390388.00
49.965,-24890954.00
50,-24887241.00
50.035,-25361468.00
50.07,-25009757.00
50.105,-24595877.00
50.14,-25322924.00
50.175,-26128836.00
50.21,-26637648.00
50.245,-27558369.00
50.28,-28393245.00
50.315,-28622318.00
50.35,-28997947.00
50.385,-29623796.00
50.42,-29554876.00
50.455,-30226975.00
50.49,-30507192.00
50.525,-30886059.00
50.56,-30882001.00
50.595,-31101468.00
50.63,-31166715.00
50.665,-31216335.00
50.7,-31876262.00
50.735,-31768811.00
50.77,-31571573.00
50.805,-31908808.00
50.84,-32077403.00
50.875,-32340855.00
50.91,-32213897.00
50.945,-32440043.00
50.98,-32263494.00
51.015,-32578456.00
51.05,-32864900.00
51.085,-32572246.00
51.12,-32601195.00
51.155,-32832656.00
51.19,-32663874.00
51.225,-33090638.00
51.26,-32952031.00
51.295,-33055073.00
51.33,-33233809.00
51.365,-33723717.00
51.4,-33631623.00
51.435,-33354091.00
51.47,-33321601.00
51.505,-33855110.00
51.54,-33834404.00
51.575,-33959961.00
51.61,-33638740.00
51.645,-33953275.00
51.68,-34267066.00
51.715,-34022231.00
51.75,-34011388.00
51.785,-34541142.00
51.82,-33967945.00
51.855,-34308252.00
51.89,-34596311.00
51.925,-34841031.00
51.96,-34242352.00
51.995,-34805886.00
52.03,-34724495.00
52.065,-34870710.00
52.1,-34616021.00
52.135,-35165193.00
52.17,-35126429.00
52.205,-34953030.00
52.24,-35140686.00
52.275,-34908577.00
52.31,-34669385.00
52.345,-34913715.00
52.38,-35341482.00
52.415,-35283115.00
52.45,-35173473.00
52.485,-35333208.00
52.52,-35553569.00
52.555,-35250397.00
52.59,-35287704.00
52.625,-35321876.00
52.66,-35425414.00
52.695,-35404966.00
52.73,-35431509.00
52.765,-35171354.00
52.8,-35547480.00
52.835,-35608681.00
52.87,-35297023.00
52.905,-35703647.00
52.94,-35493433.00
52.975,-35820338.00
53.01,-35477812.00
53.045,-35556858.00
53.08,-35732398.00
53.115,-35698593.00
53.15,-35755672.00
53.185,-35865672.00
53.22,-35631389.00
53.255,-35830338.00
53.29,-35936435.00
53.325,-35491465.00
53.36,-35614369.00
53.395,-35481545.00
53.43,-35905302.00
53.465,-35512314.00
53.5,-35628500.00
53.535,-35652580.00
53.57,-35483361.00
53.605,-35417790.00
53.64,-35629032.00
53.675,-35808363.00
53.71,-35662497.00
53.745,-35522731.00
53.78,-35394701.00
53.815,-35617132.00
53.85,-35788104.00
53.885,-35417534.00
53.92,-35889023.00
53.955,-35775717.00
53.99,-35800427.00
54.025,-35473559.00
54.06,-36044530.00
54.095,-35564678.00
54.13,-35697664.00
54.165,-35539702.00
54.2,-35686384.00
54.235,-35478395.00
54.27,-35611540.00
54.305,-35709669.00
54.34,-35029810.00
54.375,-35479292.00
54.41,-35565677.00
54.445,-35733545.00
54.48,-35624601.00
54.515,-35631941.00
54.55,-35693575.00
54.585,-35442089.00
54.62,-35429753.00
54.655,-35564526.00
54.69,-35649467.00
54.725,-35511466.00
54.76,-35368740.00
54.795,-35445881.00
54.83,-35467933.00
54.865,-35143627.00
54.9,-35380894.00
54.935,-35252781.00
54.97,-35257071.00
55.005,-35603404.00
55.04,-35387317.00
55.075,-35487704.00
55.11,-35619331.00
55.145,-35676736.00
55.18,-35480987.00
55.215,-35442885.00
55.25,-35279165.00
55.285,-35625287.00
55.32,-35486611.00
55.355,-35206725.00
55.39,-35483059.00
55.425,-35479260.00
55.46,-35475066.00
55.495,-35374886.00
55.53,-35276413.00
55.565,-35427410.00
55.6,-35275287.00
55.635,-35537484.00
55.67,-35682173.00
55.705,-35171409.00
55.74,-35452011.00
55.775,-35452172.00
55.81,-35726452.00
55.845,-35492395.00
55.88,-35515929.00
55.915,-35587958.00
55.95,-35383451.00
55.985,-35543250.00
56.02,-35510573.00
56.055,-35204635.00
56.09,-35252388.00
56.125,-35472735.00
56.16,-35782886.00
56.195,-35652247.00
56.23,-35399614.00
56.265,-35393768.00
56.3,-35460162.00
56.335,-35283224.00
56.37,-35298830.00
56.405,-35491760.00
56.44,-35369043.00
56.475,-35223385.00
56.51,-35620416.00
56.545,-35371809.00
56.58,-35223934.00
56.615,-34900245.00
56.65,-35461294.00
56.685,-35596395.00
56.72,-35062342.00
56.755,-35035173.00
56.79,-35217491.00
56.825,-35351070.00
56.86,-35332695.00
56.895,-35485472.00
56.93,-35450462.00
56.965,-35471128.00
