bin centers, ligand counts, solvent counts 
0.5, 0, 0
1.5, 0, 2
2.5, 0, 0
3.5, 945, 0
4.5, 455, 0
5.5, 630, 1
6.5, 554, 5
7.5, 605, 26
8.5, 742, 40
9.5, 681, 71
10.5, 695, 107
11.5, 615, 149
12.5, 685, 202
13.5, 627, 270
14.5, 620, 324
15.5, 472, 427
16.5, 332, 533
17.5, 175, 684
18.5, 34, 733
19.5, 6, 809
20.5, 1, 896
21.5, 0, 988
22.5, 0, 1085
23.5, 0, 1185
24.5, 0, 1291
25.5, 0, 1400
26.5, 0, 1515
27.5, 0, 1633
28.5, 0, 1757
29.5, 0, 1884
30.5, 0, 2017
31.5, 0, 2153
32.5, 0, 2294
33.5, 0, 2440
34.5, 0, 2590
35.5, 0, 2745
36.5, 0, 2904
